

Hres 	Vres 	Refresh 	HSync 	ModeLine

NVIDIA Driver ModePool

320 	175 	85 Hz 	37.8606 kHz 	ModeLine "320x175" 15.75 320 336 368 416 175 191 192 222 +HSync -VSync DoubleScan
320 	200 	85 Hz 	37.8606 kHz 	ModeLine "320x200" 15.75 320 336 368 416 200 200 202 222 -HSync +VSync DoubleScan
320 	240 	60 Hz 	31.5 kHz 	ModeLine "320x240" 12.60 320 328 376 400 240 245 246 262 -HSync -VSync DoubleScan
320 	240 	73 Hz 	37.8606 kHz 	ModeLine "320x240" 15.75 320 332 352 416 240 244 245 260 -HSync -VSync DoubleScan
320 	240 	75 Hz 	37.5 kHz 	ModeLine "320x240" 15.75 320 328 360 420 240 240 242 250 -HSync -VSync DoubleScan
320 	240 	85 Hz 	43.2692 kHz 	ModeLine "320x240" 18.00 320 348 376 416 240 240 242 254 -HSync -VSync DoubleScan
360 	200 	85 Hz 	37.9274 kHz 	ModeLine "360x200" 17.75 360 378 414 468 200 200 202 223 -HSync +VSync DoubleScan
400 	300 	56 Hz 	35.1562 kHz 	ModeLine "400x300" 18.00 400 412 448 512 300 300 301 312 +HSync +VSync DoubleScan
400 	300 	60 Hz 	37.8788 kHz 	ModeLine "400x300" 20.00 400 420 484 528 300 300 302 314 +HSync +VSync DoubleScan
400 	300 	72 Hz 	48.0769 kHz 	ModeLine "400x300" 25.00 400 428 488 520 300 318 321 333 +HSync +VSync DoubleScan
400 	300 	75 Hz 	46.875 kHz 	ModeLine "400x300" 24.75 400 408 448 528 300 300 302 312 +HSync +VSync DoubleScan
400 	300 	85 Hz 	53.7214 kHz 	ModeLine "400x300" 28.15 400 416 448 524 300 300 302 315 +HSync +VSync DoubleScan
416 	312 	75 Hz 	49.7222 kHz 	ModeLine "416x312" 28.64 416 432 464 576 312 312 314 333 -HSync -VSync DoubleScan
512 	384 	60 Hz 	48.3631 kHz 	ModeLine "512x384" 32.50 512 524 592 672 384 385 388 403 -HSync -VSync DoubleScan
512 	384 	70 Hz 	56.4759 kHz 	ModeLine "512x384" 37.50 512 524 592 664 384 385 388 403 -HSync -VSync DoubleScan
512 	384 	75 Hz 	60.061 kHz 	ModeLine "512x384" 39.40 512 520 568 656 384 384 386 400 +HSync +VSync DoubleScan
512 	384 	85 Hz 	68.6773 kHz 	ModeLine "512x384" 47.25 512 536 584 688 384 384 386 404 +HSync +VSync DoubleScan
512 	384 	87 Hz 	35.5222 kHz 	ModeLine "512x384" 22.45 512 516 604 632 384 384 388 408 +HSync +VSync Interlace DoubleScan
